71,71,reduced,Wedgwood to Downtown Seattle,http://metro.kingcounty.gov/schedules/071/map.html,http://metro.kingcounty.gov/schedules/071/
72,72,reduced,Lake City to Downtown Seattle,http://metro.kingcounty.gov/schedules/072/map.html,http://metro.kingcounty.gov/schedules/072/
73,73,reduced,Jackson Park to Cowen Park to Downtown Seattle,http://metro.kingcounty.gov/schedules/073/map.html,http://metro.kingcounty.gov/schedules/073/
74EX,74,unchanged,Sand Point to Downtown Seattle,http://metro.kingcounty.gov/schedules/074/map.html,http://metro.kingcounty.gov/schedules/074/
75,75,unchanged,Northgate TC to Lake City & Sand Point to University District,http://metro.kingcounty.gov/schedules/075/map.html,http://metro.kingcounty.gov/schedules/075/
76,76,deleted,Wedgwood to Downtown Seattle,http://metro.kingcounty.gov/schedules/076/map.html,http://metro.kingcounty.gov/schedules/076/
77EX,77,deleted,North City to Downtown Seattle,http://metro.kingcounty.gov/schedules/077/map.html,http://metro.kingcounty.gov/schedules/077/
82,82,deleted,Downtown Seattle to Queen Anne to Green Lake to Greenwood,http://metro.kingcounty.gov/schedules/082/map.html,http://metro.kingcounty.gov/schedules/082/
83,83,deleted,Downtown Seattle to University District to Maple Leaf to Ravenna,http://metro.kingcounty.gov/schedules/083/map.html,http://metro.kingcounty.gov/schedules/083/
84,84,deleted,Downtown Seattle to Madison Park to Madrona,http://metro.kingcounty.gov/schedules/084/map.html,http://metro.kingcounty.gov/schedules/084/
99,99,deleted,International District to Pioneer Square to 1st Av & Belltown to Waterfront,http://metro.kingcounty.gov/schedules/099/map.html,http://metro.kingcounty.gov/schedules/099/
101,101,unchanged,Renton TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/101/map.html,http://metro.kingcounty.gov/schedules/101/
102,102,unchanged,Fairwood to Downtown Seattle,http://metro.kingcounty.gov/schedules/102/map.html,http://metro.kingcounty.gov/schedules/102/
105,105,unchanged,Renton Highlands to Renton,http://metro.kingcounty.gov/schedules/105/map.html,http://metro.kingcounty.gov/schedules/105/
106,106,reduced,Renton TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/106/map.html,http://metro.kingcounty.gov/schedules/106/
107,107,reduced,Renton TC to Rainier Beach,http://metro.kingcounty.gov/schedules/107/map.html,http://metro.kingcounty.gov/schedules/107/
110,110,deleted,Tukwila Sounder Station to North Renton,http://metro.kingcounty.gov/schedules/110/map.html,http://metro.kingcounty.gov/schedules/110/
111,111,unchanged,Lake Kathleen to Downtown Seattle,http://metro.kingcounty.gov/schedules/111/map.html,http://metro.kingcounty.gov/schedules/111/
113,113,deleted,Shorewood to Downtown Seattle,http://metro.kingcounty.gov/schedules/113/map.html,http://metro.kingcounty.gov/schedules/113/
114,114,deleted,Renton Highlands to Downtown Seattle,http://metro.kingcounty.gov/schedules/114/map.html,http://metro.kingcounty.gov/schedules/114/
116EX,116,reduced,Fauntleroy Ferry to Downtown Seattle,http://metro.kingcounty.gov/schedules/116/map.html,http://metro.kingcounty.gov/schedules/116/
118,118,reduced,Tahlequah to Vashon to Downtown Seattle,http://metro.kingcounty.gov/schedules/118/map.html,http://metro.kingcounty.gov/schedules/118/
118EX,118,deleted,Tahlequah to Vashon to Downtown Seattle,http://metro.kingcounty.gov/schedules/118/map.html,http://metro.kingcounty.gov/schedules/118/
119,119,deleted,Dockton to Vashon to Downtown Seattle,http://metro.kingcounty.gov/schedules/119/map.html,http://metro.kingcounty.gov/schedules/119/
119EX,119,deleted,Dockton to Vashon to Downtown Seattle,http://metro.kingcounty.gov/schedules/119/map.html,http://metro.kingcounty.gov/schedules/119/
120,120,unchanged,Burien TC to Westwood Village to Downtown Seattle,http://metro.kingcounty.gov/schedules/120/map.html,http://metro.kingcounty.gov/schedules/120/
121,121,reduced,Highline Community College to Burien TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/121/map.html,http://metro.kingcounty.gov/schedules/121/
122,122,reduced,Highline Community College to Burien TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/122/map.html,http://metro.kingcounty.gov/schedules/122/
123EX,123,deleted,Gregory Heights to Burien to Downtown Seattle,http://metro.kingcounty.gov/schedules/123/map.html,http://metro.kingcounty.gov/schedules/123/
124,124,unchanged,Tukwila Intl Blvd Link Station to Downtown Seattle,http://metro.kingcounty.gov/schedules/124/map.html,http://metro.kingcounty.gov/schedules/124/
125,125,reduced,Westwood Village to SSCC to Downtown Seattle,http://metro.kingcounty.gov/schedules/125/map.html,http://metro.kingcounty.gov/schedules/125/
128,128,unchanged,Southcenter to SSCC to Alaska Junction to Admiral District,http://metro.kingcounty.gov/schedules/128/map.html,http://metro.kingcounty.gov/schedules/128/
131**,131,unchanged,Burien TC to Georgetown & 4th Av S to Downtown Seattle,http://metro.kingcounty.gov/schedules/131/map.html,http://metro.kingcounty.gov/schedules/131/
132**,132,unchanged,Burien TC to South Park & 4th Av S to Downtown Seattle,http://metro.kingcounty.gov/schedules/132/map.html,http://metro.kingcounty.gov/schedules/132/
139,139,deleted,Burien TC to Highline Hospital to Gregory Heights,http://metro.kingcounty.gov/schedules/139/map.html,http://metro.kingcounty.gov/schedules/139/
140,140,unchanged,Burien TC to Tukwila Intl Blvd Link Station to Renton TC,http://metro.kingcounty.gov/schedules/140/map.html,http://metro.kingcounty.gov/schedules/140/
143EX,143,unchanged,Black Diamond to Downtown Seattle,http://metro.kingcounty.gov/schedules/143/map.html,http://metro.kingcounty.gov/schedules/143/
148,148,reduced,Fairwood to Renton TC,http://metro.kingcounty.gov/schedules/148/map.html,http://metro.kingcounty.gov/schedules/148/
150,150,unchanged,Kent Rail Station to Southcenter to Downtown Seattle,http://metro.kingcounty.gov/schedules/150/map.html,http://metro.kingcounty.gov/schedules/150/
152,152,deleted,Auburn to Downtown Seattle,http://metro.kingcounty.gov/schedules/152/map.html,http://metro.kingcounty.gov/schedules/152/
153,153,unchanged,Kent Rail Station to Renton TC,http://metro.kingcounty.gov/schedules/153/map.html,http://metro.kingcounty.gov/schedules/153/
154,154,deleted,Tukwila Station to Boeing Industrial,http://metro.kingcounty.gov/schedules/154/map.html,http://metro.kingcounty.gov/schedules/154/
155,155,unchanged,Fairwood to Southcenter,http://metro.kingcounty.gov/schedules/155/map.html,http://metro.kingcounty.gov/schedules/155/
156,156,reduced,Southcenter to Sea Tac to Des Moines to Highline CC,http://metro.kingcounty.gov/schedules/156/map.html,http://metro.kingcounty.gov/schedules/156/
157,157,deleted,Lake Meridian P&R to Downtown Seattle,http://metro.kingcounty.gov/schedules/157/map.html,http://metro.kingcounty.gov/schedules/157/
158,158,unchanged,Kent East Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/158/map.html,http://metro.kingcounty.gov/schedules/158/
159,159,deleted,Timberlane to Lake Meridian P&R to Kent Rail Station to Downtown Seattle,http://metro.kingcounty.gov/schedules/159/map.html,http://metro.kingcounty.gov/schedules/159/
161,161,deleted,Lake Meridian to Kent East Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/161/map.html,http://metro.kingcounty.gov/schedules/161/
164,164,unchanged,Green River Community College to Kent Rail Station,http://metro.kingcounty.gov/schedules/164/map.html,http://metro.kingcounty.gov/schedules/164/
166,166,unchanged,Kent Rail Station to Highline CC to Des Moines to Burien TC,http://metro.kingcounty.gov/schedules/166/map.html,http://metro.kingcounty.gov/schedules/166/
167,167,unchanged,South Renton P&R to University District,http://metro.kingcounty.gov/schedules/167/map.html,http://metro.kingcounty.gov/schedules/167/
168,168,unchanged,Maple Valley to Kent Rail Station,http://metro.kingcounty.gov/schedules/168/map.html,http://metro.kingcounty.gov/schedules/168/
169,169,unchanged,Kent Rail Station to Renton TC,http://metro.kingcounty.gov/schedules/169/map.html,http://metro.kingcounty.gov/schedules/169/
173,173,deleted,Federal Way TC to Boeing Industrial to Federal Center South,http://metro.kingcounty.gov/schedules/173/map.html,http://metro.kingcounty.gov/schedules/173/
177,177,reduced,Federal Way P&R to Downtown Seattle,http://metro.kingcounty.gov/schedules/177/map.html,http://metro.kingcounty.gov/schedules/177/
178,178,unchanged,Federal Way P&R to Federal Way TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/178/map.html,http://metro.kingcounty.gov/schedules/178/
179,179,deleted,Twin Lakes P&R to Downtown Seattle,http://metro.kingcounty.gov/schedules/179/map.html,http://metro.kingcounty.gov/schedules/179/
180,180,unchanged,Southeast Auburn to Kent Rail Station to Sea-Tac to Burien TC,http://metro.kingcounty.gov/schedules/180/map.html,http://metro.kingcounty.gov/schedules/180/
181,181,reduced,Twin Lakes P&R to Auburn Station to Green River Community College,http://metro.kingcounty.gov/schedules/181/map.html,http://metro.kingcounty.gov/schedules/181/
182,182,reduced,Northeast Tacoma to Federal Way TC,http://metro.kingcounty.gov/schedules/182/map.html,http://metro.kingcounty.gov/schedules/182/
183,183,unchanged,Federal Way TC to Star Lake to Kent Rail Station,http://metro.kingcounty.gov/schedules/183/map.html,http://metro.kingcounty.gov/schedules/183/
186,186,reduced,Enumclaw to Auburn Station,http://metro.kingcounty.gov/schedules/186/map.html,http://metro.kingcounty.gov/schedules/186/
187,187,reduced,Federal Way TC to Twin Lakes,http://metro.kingcounty.gov/schedules/187/map.html,http://metro.kingcounty.gov/schedules/187/
190,190,deleted,Redondo Heights P&R to Star Lake to Downtown Seattle,http://metro.kingcounty.gov/schedules/190/map.html,http://metro.kingcounty.gov/schedules/190/
192,192,deleted,Star Lake to Downtown Seattle,http://metro.kingcounty.gov/schedules/192/map.html,http://metro.kingcounty.gov/schedules/192/
193EX,193,reduced,Federal Way P&R to First Hill,http://metro.kingcounty.gov/schedules/193/map.html,http://metro.kingcounty.gov/schedules/193/
197,197,deleted,Twin Lakes P&R to University District,http://metro.kingcounty.gov/schedules/197/map.html,http://metro.kingcounty.gov/schedules/197/
200,200,deleted,Downtown Issaquah to North Issaquah,http://metro.kingcounty.gov/schedules/200/map.html,http://metro.kingcounty.gov/schedules/200/
201,201,deleted,South Mercer Island to Mercer Island P&R,http://metro.kingcounty.gov/schedules/201/map.html,http://metro.kingcounty.gov/schedules/201/
202,202,reduced,South Mercer Island to Downtown Seattle,http://metro.kingcounty.gov/schedules/202/map.html,http://metro.kingcounty.gov/schedules/202/
203,203,deleted,Mercer Island P&R to Shorewood,http://metro.kingcounty.gov/schedules/203/map.html,http://metro.kingcounty.gov/schedules/203/
204,204,reduced,South Mercer Island to Mercer Island P&R,http://metro.kingcounty.gov/schedules/204/map.html,http://metro.kingcounty.gov/schedules/204/
205EX,205,deleted,South Mercer Island to University District,http://metro.kingcounty.gov/schedules/205/map.html,http://metro.kingcounty.gov/schedules/205/
209,209,reduced,North Bend to Issaquah TC,http://metro.kingcounty.gov/schedules/209/map.html,http://metro.kingcounty.gov/schedules/209/
210,210,deleted,Issaquah TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/210/map.html,http://metro.kingcounty.gov/schedules/210/
211EX,211,deleted,Issaquah Highlands P&R to First Hill,http://metro.kingcounty.gov/schedules/211/map.html,http://metro.kingcounty.gov/schedules/211/
212,212,unchanged,Eastgate P&R to Downtown Seattle,http://metro.kingcounty.gov/schedules/212/map.html,http://metro.kingcounty.gov/schedules/212/
213,213,deleted,Mercer Island P&R to Covenant Shores,http://metro.kingcounty.gov/schedules/213/map.html,http://metro.kingcounty.gov/schedules/213/
214,214,reduced,Issaquah to Downtown Seattle,http://metro.kingcounty.gov/schedules/214/map.html,http://metro.kingcounty.gov/schedules/214/
215,215,deleted,North Bend to Issaquah TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/215/map.html,http://metro.kingcounty.gov/schedules/215/
216,216,deleted,Bear Creek P&R to Sammamish to Downtown Seattle,http://metro.kingcounty.gov/schedules/216/map.html,http://metro.kingcounty.gov/schedules/216/
